masterid,stationcode,latitude,longitude
106WER011,106WER011,40.93667,-123.15389
106WER011,R5BIO-010,40.93667,-123.15389
106WER012,106WER012,40.23806,-123.08
106WER014,106WER014,40.24101,-123.08278
106WER016,106WER016,40.48972,-123.02833
106WER037,106WER037,41.00861,-123.60081
106WER062,106WER062,41.13472,-122.80333
106YJCENT,106YJCENT,40.8779,-123.1249
107GWCAPC,107GWCAPC,41.36788,-124.02434
107LLM101,107LLM101,41.32697,-124.02387
107PS0021,107PS0021,41.32445,-124.00712
107RWCBHW,107RWCBHW,41.19664,-123.99636
107WE0605,107WE0605,40.89154,-123.8084
107WE0750,107WE0750,40.7548,-123.73981
107WER092,107WER092,41.4,-124.05806
108FCA013,108FCA013,41.08977,-124.08483
108PS0197,108PS0197,41.176,-124.0853
108PS0290,108PS0290,41.02908137,-124.003963
108WE1090,108WE1090,41.09051,-124.08467
109BCAMCR,109BCAMCR,40.76411253,-123.8630428
109CE0101,109CE0101,40.83333,-123.95194
109PS0162,109PS0162,40.90519,-124.04166
109WE1051,109WE1051,40.93151,-124.07934
110CE0229,110CE0229,40.77083,-124.07527
110CE0325,110CE0325,40.76444,-124.06472
110CE0485,110CE0485,40.83722,-124.06861
110CE0613,110CE0613,40.80055,-124.15111
110ECSLSF,110ECSLSF,40.67323,-124.0966
110FCA102,110FCA102,40.72528,-124.11528
110NC0390,110NC0390,40.68295,-124.14393
110PS0114,110PS0114,40.68788,-124.05053
110PS0306,110PS0306,40.75210909,-124.0365401
110SMCATH,110SMCATH,40.63848,-124.10397
110WE0838,110WE0838,40.72861,-124.06014
111BBRBCC,111BBRBCC,39.69838,-122.9225
111BGCAER,111BGCAER,40.0211,-123.06052
111BRCRFC,111BRCRFC,39.3205,-122.84841
111BVCMFE,111BVCMFE,39.93603,-122.98827
111CBCAER,111CBCAER,39.52904,-122.84832
111CBCANF,111CBCANF,39.5498,-122.7312
111CE0089,111CE0089,40.4625,-123.5425
111CE0551,111CE0551,39.35314,-122.77651
111CE0569,111CE0569,40.3461,-123.99327
111CR0911,111CR0911,40.3096,-123.7626
111CR1012,111CR1012,40.5089,-124.137
111ELRATC,111ELRATC,39.54028,-122.85944
111ELSFAB,111ELSFAB,40.12389,-123.83611
111ERATRC,111ERATRC,39.5525,-122.8613
111FC1098,111FC1098,39.75738,-123.72484
111FCA063,111FCA063,40.31844,-123.77101
111FCA207,111FCA207,40.10694,-123.79667
111FS0001,111FS0001,39.327,-122.83101
111FS0001,R5BIO-001,39.327,-122.83101
111FS0007,111FS0007,39.4713,-122.83364
111FS0007,R5BIO-007,39.4713,-122.83364
111FS0008,111FS0008,39.31933,-122.84536
111FS0008,R5BIO-008,39.31933,-122.84536
111GCABPC,111GCABPC,39.50481966,-123.1634749
111HSCAER,111HSCAER,39.52461,-122.85218
111MJE001,111MJE001,40.47755,-123.77727
111MJE002,111MJE002,40.49255,-123.90532
111MJE003,111MJE003,40.23387,-123.91645
111MJE004,111MJE004,40.23447,-123.91526
111MJE005,111MJE005,40.12311,-123.8424
111MJE006,111MJE006,40.04045,-123.86707
111MJE007,111MJE007,40.04008,-123.86636
111MJE009,111MJE009,40.02222,-123.86395
111MJE010,111MJE010,40.94707,-123.66389
111NC0351,111NC0351,39.81802372,-123.7479544
111NC0569,111NC0569,40.51317,-123.90426
111PAL105,111PAL105,40.34982,-123.96426
111PS0008,111PS0008,39.52196,-123.3967
111PS0013,111PS0013,40.40597,-123.8484
111PS0057,111PS0057,40.46917,-123.92925
