masterid,latitude,longitude,huc,county,psa_lu,comid,psa6c,regionalboardnumber,area_sqkm,new_lat,new_long,site_elev,elev_range,ppt_00_09,maxwd_ws,meanp_ws,minp_ws,sumave_p,xwd_ws,temp_00_09,tmax_ws,atmca,atmmg,atmso4,bdh_ave,kfct_ave,lprem_mean,prmh_ave,ucs_mean,cao_mean,mgo_mean,s_mean,p_mean,urban_2011_ws,urban_2011_5k,urban_2011_1k,ag_2011_ws,ag_2011_5k,ag_2011_1k,code_21_2011_ws,code_21_2011_5k,code_21_2011_1k,roaddens_ws,roaddens_5k,roaddens_1k,paved_int_ws,paved_int_5k,paved_int_1k,invdamdist,mines_5k,MaxW1_HALL,RefStatus
408CGCS10,34.21103,-118.92375,408,Ventura,Urban,17564078,SC,4,20.51190536,34.21113143,-118.9237712,85,332,36119.7,4.109375,391.7209302,0,239.8699928,26.125,2390,304.8,0.05743978,0.03017442,0.37302092,1.55452349,0.22690183,-0.65721473,2.90790466,92.86219432,12.26666906,5.35140155,0.60502255,0.21321176,59.8262472,49.10700997,7,0,0,0,0.11846782,0,0,9.83601889,7.52112899,0.41394715,114,44,0,0,0,-Inf,Non-reference
518LTCMLB,40.1504,-120.79448,518,Plumas,Other,8026726,SN,5,164.4629699,40.14938854,-120.7954296,1092,1219,83551.5,9.4675835,886.7612732,5.58883249,2653.902002,65.5108055,1757,270.0862944,0.04437196,0.01945832,0.19453801,1.49103637,0.13925928,-1.17832517,8.62982699,131.0345195,4.14108675,2.28025224,0.04633554,0.18453017,0.03338186,0.08725394,0,0,0,3,0.03228737,0,0,1.1298905,0.99552709,1.39598319,38,8,5,0,0,-Inf,Non-reference
631SRD001,38.31668,-119.59518,631,Mono,Other,10745090,SN,6,1.02948,38.3152028,-119.59729,2689,228,83491.8,11,987.5,19,5564.933,85,1084,211,0.0593,0.0112,0.2324,1.4099,0.103,-1.076,12.9123,51.0679,2.5913,1.5404,0.0196,0.1608,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,-Inf,Reference
SMC07128,34.34428,-118.36042,412,Los Angeles,Other,22515710,SC,4,62.4402,34.34480875,-118.3619765,655,1329,47809.4,7,727.6403,0.08,887.7172,37.80829,2392,305.4933,0.05366364,0.03145905,0.3812763,1.612109,0.1637524,-0.4262093,4.913861,177.1982,8.900926,3.332987,0.05494317,0.1317779,0.0691862,0.07196598,0,0,0,0,3.149413,3.912332,10.41009,1.157852,1.798995,1.461888,0,0,0,0,1,-Inf,Non-reference
402WE0803,34.42131,-119.3806,402,Ventura,Other,17586740,SC,4,27.94776,34.4212966,-119.38173,218,1221,54298.6,5.2299,717.3492,0,339.6729,30.7586,2431,290.9032,0.0618,0.0276,0.3515,1.5158,0.2465,-0.7404,1.6197,78.4019,3.3077,1.2787,1.2599,0.1255,0,0,0,0,0,0,0.9437001,1.290209,1.866475,0.3466365,0.4733771,0.625915,2,2,0,0,0,-Inf,Reference
505SQUAW1,40.989,-122.0567,505,Shasta,Forest,7950742,NC,5,51.5583,40.98895464,-122.0565915,556,1070,209314,14.42138365,1968.915966,9.046875,5361.468003,99.62893082,2095,316.484375,0.03162746,0.01053339,0.13327193,1.26694771,0.17059616,-1.40878685,4.0065161,72.68595351,9.98809057,3.01768719,0.06928506,0.1507881,0,0,0,0,0,0,0,0,0,1.83882225,1.0858066,0,0,0,0,0,0,-Inf,Reference
412M08640,34.22095,-118.54618,412,Los Angeles,Urban,NA,SC,4,47.0502,34.219983,-118.546087,237,777,39352.19922,5.034722,464.757009,2.101587,368.024306,28.715278,2639,330.962963,0.055083,0.030942,0.378097,1.589739,0.265109,0.720218,4.800446,35.149001,4.813514,0,0.315315,0.122583,59.007613,90.31015,93,0,0,0,14.960404,8.341103,7.349081,9.539102,11.913364,11.396863,86,34,2,0,0,3.4,Non-reference
SMC21921,33.8878,-117.50574,801,Riverside,Urban,22563104,SC,8,33.4764,33.88788907,-117.5057604,214,241,25789.5,5.65385,301.72,0.725,474.719,30.3462,2675,340.075,0.054556,0.031629,0.385469,1.63865,0.264935,0.778315,2.98871,35.5,2.26361,1.23538,0.089058,0.133912,71.66093,75.30202,94,0,0,0,15.73019,12.78605,5.403727,10.32366,11.4082,20.02884,26,24,4,0,0,-Inf,Non-reference
201WLK120,38.20764,-122.79456,201,Marin,Other,5329817,CH,2,31.20422113,38.2077233,-122.79468,50,370,91687.79688,10.75,1032.8235,1,901.6132,69.375,2043,270.7368,0.04243333,0.0477,0.27516667,1.49323333,0.27223333,-0.39256667,1.4063,94.9516,3.2051,3.7229,0.0502,0.0429,0.1615043,0.01856872,0,0,0,0,1.36413451,0.86901623,2.71940668,0.49382668,0.33404066,0.76314781,3,2,1,0,1,-Inf,Non-reference
312MZCDBC,34.77044,-119.93702,312,Santa Barbara,Other,0,CH,3,79.46422,34.7705778,-119.93641,567,1434,59434.6,7.2181,787.0939,0,292.4719,41.358,2292,310.32,0.062,0.0257,0.3159,1.5444,0.2876,-0.7113,2.1514,68.9705,17.8013,6.5896,1.1583,0.1142,0.00226488,0,0,0,0,0,0.4371213,0.3655176,0,0.0409849,0.08002251,0.1430758,5,5,3,0,0,-Inf,Reference
