"BiostimVar","BSPretty","Stratum","BIgoal","Prob","Prob2","LowestThreshold","LowestValidatedThreshold"
"Nitrogen_Total_mgPerL","Total N","Arid","BCG3","p95","95% rel prob",0.027027027027027,0.276276276276276
"Nitrogen_Total_mgPerL","Total N","Arid","BCG4","p50","50% rel prob",Inf,Inf
"Nitrogen_Total_mgPerL","Total N","Arid","BCG4","p80","80% rel prob",1.65165165165165,1.65165165165165
"Nitrogen_Total_mgPerL","Total N","Arid","BCG4","p90","90% rel prob",0.912912912912913,0.912912912912913
"Nitrogen_Total_mgPerL","Total N","Arid","BCG4","p95","95% rel prob",0.486486486486486,0.486486486486486
"Nitrogen_Total_mgPerL","Total N","Arid","Ref01","p50","50% rel prob",2.5975975975976,2.5975975975976
"Nitrogen_Total_mgPerL","Total N","Arid","Ref01","p80","80% rel prob",1.10810810810811,1.10810810810811
"Nitrogen_Total_mgPerL","Total N","Arid","Ref01","p90","90% rel prob",0.585585585585586,0.585585585585586
"Nitrogen_Total_mgPerL","Total N","Arid","Ref01","p95","95% rel prob",0.303303303303303,0.303303303303303
"Nitrogen_Total_mgPerL","Total N","Arid","Ref10","p50","50% rel prob",0.555555555555556,0.555555555555556
"Nitrogen_Total_mgPerL","Total N","Arid","Ref10","p80","80% rel prob",0.237237237237237,0.237237237237237
"Nitrogen_Total_mgPerL","Total N","Arid","Ref10","p90","90% rel prob",0.126126126126126,0.126126126126126
"Nitrogen_Total_mgPerL","Total N","Arid","Ref10","p95","95% rel prob",0.0630630630630631,0.0630630630630631
"Nitrogen_Total_mgPerL","Total N","Arid","Ref30","p50","50% rel prob",0.327327327327327,0.327327327327327
"Nitrogen_Total_mgPerL","Total N","Arid","Ref30","p80","80% rel prob",0.132132132132132,0.132132132132132
"Nitrogen_Total_mgPerL","Total N","Arid","Ref30","p90","90% rel prob",0.0660660660660661,0.0660660660660661
"Nitrogen_Total_mgPerL","Total N","Arid","Ref30","p95","95% rel prob",0.033033033033033,0.192192192192192
"Nitrogen_Total_mgPerL","Total N","California","BCG3","p50","50% rel prob",0.3003003003003,0.3003003003003
"Nitrogen_Total_mgPerL","Total N","California","BCG3","p80","80% rel prob",0.114114114114114,0.114114114114114
"Nitrogen_Total_mgPerL","Total N","California","BCG3","p90","90% rel prob",0.057057057057057,0.0690690690690691
"Nitrogen_Total_mgPerL","Total N","California","BCG3","p95","95% rel prob",0.027027027027027,0.027027027027027
"Nitrogen_Total_mgPerL","Total N","California","BCG4","p50","50% rel prob",Inf,Inf
"Nitrogen_Total_mgPerL","Total N","California","BCG4","p80","80% rel prob",1.69369369369369,1.69369369369369
"Nitrogen_Total_mgPerL","Total N","California","BCG4","p90","90% rel prob",0.990990990990991,0.990990990990991
"Nitrogen_Total_mgPerL","Total N","California","BCG4","p95","95% rel prob",0.552552552552553,0.552552552552553
"Nitrogen_Total_mgPerL","Total N","California","Ref01","p50","50% rel prob",2.34534534534535,2.34534534534535
"Nitrogen_Total_mgPerL","Total N","California","Ref01","p80","80% rel prob",1.08108108108108,1.08108108108108
"Nitrogen_Total_mgPerL","Total N","California","Ref01","p90","90% rel prob",0.594594594594595,0.594594594594595
"Nitrogen_Total_mgPerL","Total N","California","Ref01","p95","95% rel prob",0.318318318318318,0.318318318318318
"Nitrogen_Total_mgPerL","Total N","California","Ref10","p50","50% rel prob",0.537537537537538,0.537537537537538
"Nitrogen_Total_mgPerL","Total N","California","Ref10","p80","80% rel prob",0.24024024024024,0.24024024024024
"Nitrogen_Total_mgPerL","Total N","California","Ref10","p90","90% rel prob",0.129129129129129,0.129129129129129
"Nitrogen_Total_mgPerL","Total N","California","Ref10","p95","95% rel prob",0.0690690690690691,0.0690690690690691
"Nitrogen_Total_mgPerL","Total N","California","Ref30","p50","50% rel prob",0.333333333333333,0.333333333333333
"Nitrogen_Total_mgPerL","Total N","California","Ref30","p80","80% rel prob",0.132132132132132,0.132132132132132
"Nitrogen_Total_mgPerL","Total N","California","Ref30","p90","90% rel prob",0.0660660660660661,0.0660660660660661
"Nitrogen_Total_mgPerL","Total N","California","Ref30","p95","95% rel prob",0.033033033033033,0.174174174174174
"Nitrogen_Total_mgPerL","Total N","Wet","BCG3","p50","50% rel prob",0.354354354354354,Inf
"Nitrogen_Total_mgPerL","Total N","Wet","BCG3","p80","80% rel prob",0.135135135135135,Inf
"Nitrogen_Total_mgPerL","Total N","Wet","BCG3","p90","90% rel prob",0.0660660660660661,Inf
"Nitrogen_Total_mgPerL","Total N","Wet","BCG3","p95","95% rel prob",0.033033033033033,Inf
"Nitrogen_Total_mgPerL","Total N","Wet","BCG4","p50","50% rel prob",1.13213213213213,Inf
"Nitrogen_Total_mgPerL","Total N","Wet","BCG4","p80","80% rel prob",0.681681681681682,Inf
