masterid,sampledate,XSLOPE,PCT_FN,PCT_HP
403BA0027,2018-06-26T07:00:00Z,1.1,1,0
403BA0027,2019-06-18T07:00:00Z,0.6,14,0
403BA0047,2008-05-15T07:00:00Z,0.3,4,0
403BA0047,2019-05-15T07:00:00Z,0.1,4,0
403BA0068,2008-05-14T07:00:00Z,1.5,0,0
403BA0136,2008-05-13T07:00:00Z,1.8,0,0
403BA0140,2008-05-21T07:00:00Z,6.6,0,0
403BA0171,2008-05-19T07:00:00Z,34.8,0,0
403BA0191,2008-05-14T07:00:00Z,0.8,0,0
403BA0191,2010-07-12T07:00:00Z,2.4,45,0
403M01500,2016-06-15T07:00:00Z,0.8,6,0
403M01505,2015-06-29T07:00:00Z,0,8,0
403M01506,2015-06-17T07:00:00Z,0.7,17,0
403M01522,2016-06-29T07:00:00Z,1.6,69,0
403M01528,2016-06-15T07:00:00Z,1.4,14,0
403M01538,2017-05-25T07:00:00Z,1.5,0,7
403M01539,2017-04-20T07:00:00Z,1.9,0,1
403M01553,2017-05-25T07:00:00Z,1.6,0,0
403M01560,2019-05-15T07:00:00Z,0,9,0
403M01565,2018-06-13T07:00:00Z,2.5,10,4
403M01571,2019-06-19T07:00:00Z,3.4,3,0
403M01580,2019-05-15T07:00:00Z,0,0,0
403M01626,2018-06-13T07:00:00Z,3.7,0,0
403M01661,2019-06-17T07:00:00Z,0.4,27,0
403M05757,2015-06-29T07:00:00Z,1.3,9,1
403M05758,2015-06-29T07:00:00Z,0.9,3,7
403M05771,2015-04-30T07:00:00Z,1.5,27,9
403M05798,2018-05-15T07:00:00Z,4.1,0,0
403M05800,2018-05-16T07:00:00Z,7.2,0,0
403M05832,2019-06-27T07:00:00Z,0.9,2,10
403M05844,2019-06-20T07:00:00Z,2.2,0,0
403S00064,2008-05-12T07:00:00Z,1.2,0,0
403S00271,2015-08-13T07:00:00Z,1.5,5,0
403S00271,2016-06-22T07:00:00Z,1.5,10,0
403S00271,2017-04-20T07:00:00Z,1.2,1,0
403S00271,2018-06-25T07:00:00Z,0.9,2,0
403S00271,2019-06-19T07:00:00Z,1.2,3,0
403S00640,2009-06-11T07:00:00Z,0.6,2,0
403S00772,2009-05-20T07:00:00Z,1.1,8,0
403S00960,2008-05-21T07:00:00Z,1.4,0,0
403S01163,2009-06-08T07:00:00Z,2,23,0
403S01195,2009-06-10T07:00:00Z,1,30,0
403S01272,2009-06-09T07:00:00Z,0.2,0,0
403S01784,2009-06-09T07:00:00Z,0.4,25,0
403S02139,2012-07-17T07:00:00Z,3.4,3,0
403S03832,2009-06-08T07:00:00Z,0.7,90,0
403S14156,2009-06-09T07:00:00Z,0.8,4,0
404BA0084,2008-06-04T07:00:00Z,0.8,0,0
404BA0104,2008-06-18T07:00:00Z,1.8,0,0
404BA0142,2008-06-18T07:00:00Z,1.4,0,0
404BA0376,2008-06-05T07:00:00Z,0.4,0,0
404BA0526,2008-06-04T07:00:00Z,4.9,0,0
404BA0616,2008-06-03T07:00:00Z,0.8,0,0
404BA0808,2008-06-02T07:00:00Z,0.3,0,0
404BA0852,2008-06-03T07:00:00Z,3.2,0,0
404BA0964,2008-06-04T07:00:00Z,0.6,0,0
404BA1144,2008-06-10T07:00:00Z,3.8,0,0
404BA1166,2008-06-10T07:00:00Z,2.6,0,0
404BA1166,2009-06-04T07:00:00Z,4.2,8,0
404M04517,2017-04-26T07:00:00Z,2,0,1
404M04532,2015-07-14T07:00:00Z,1.8,4,0
404M04599,2016-08-03T07:00:00Z,15.9,17,0
404M04624,2018-06-19T07:00:00Z,1,8,0
404M04674,2019-05-09T07:00:00Z,0.2,2,0
404M07346,2015-07-01T07:00:00Z,2.8,5,3
404M07349,2015-07-15T07:00:00Z,1.4,8,0
404M07364,2018-06-21T07:00:00Z,0.9,0,1
404M07365,2018-06-27T07:00:00Z,2.5,0,0
404M07368,2018-06-20T07:00:00Z,0.2,0,2
404M07372,2019-07-09T07:00:00Z,0.6,10,1
404M07375,2019-05-14T07:00:00Z,4.3,0,3
404M07376,2019-07-09T07:00:00Z,1.4,1,0
404S01128,2008-06-19T07:00:00Z,2,7,0
404S02920,2009-05-12T07:00:00Z,1,30,0
404S03048,2009-05-13T07:00:00Z,3,20,0
404S05992,2009-05-12T07:00:00Z,0.4,5,0
404S06456,2009-05-14T07:00:00Z,1.2,0,0
404S08040,2009-05-12T07:00:00Z,1.4,4,0
404S08616,2009-05-13T07:00:00Z,0.7,4,0
404S11406,2009-05-11T07:00:00Z,0.6,0,0
404S16516,2009-05-18T07:00:00Z,0.9,1,0
