"Stratum","BiostimVar","BIgoal","BIgoal2","Prob","Prob2","Response","BSPretty","DevSet","Est","l95","u95"
"Arid","Chlorophyll_a_mgPerm2","BCG3","BCG3","p50","50% rel prob","CSCI","Chl-a","Val",106.306306306306,85.8858858858859,141.441441441441
"Arid","Ash_Free_Dry_Mass_mgPercm2","BCG3","BCG3","p95","95% rel prob","CSCI","AFDM","Cal",1.2012012012012,-Inf,2.55255255255255
"Arid","Ash_Free_Dry_Mass_mgPercm2","BCG3","BCG3","p95","95% rel prob","CSCI","AFDM","Val",1.2012012012012,-Inf,2.55255255255255
"Arid","Ash_Free_Dry_Mass_mgPercm2","BCG3","BCG3","p90","90% rel prob","CSCI","AFDM","Cal",2.4024024024024,0.750750750750751,3.82882882882883
"Arid","Ash_Free_Dry_Mass_mgPercm2","BCG3","BCG3","p90","90% rel prob","CSCI","AFDM","Val",2.4024024024024,0.750750750750751,3.82882882882883
"Arid","Ash_Free_Dry_Mass_mgPercm2","BCG3","BCG3","p80","80% rel prob","CSCI","AFDM","Cal",4.72972972972973,3.3033033033033,6.90690690690691
"Arid","Ash_Free_Dry_Mass_mgPercm2","BCG3","BCG3","p80","80% rel prob","CSCI","AFDM","Val",4.72972972972973,3.3033033033033,6.90690690690691
"Arid","Ash_Free_Dry_Mass_mgPercm2","BCG3","BCG3","p50","50% rel prob","CSCI","AFDM","Cal",12.0870870870871,9.15915915915916,18.6936936936937
"Arid","Ash_Free_Dry_Mass_mgPercm2","BCG3","BCG3","p50","50% rel prob","CSCI","AFDM","Val",12.0870870870871,9.15915915915916,18.6936936936937
"Arid","PCT_MAP","BCG3","BCG3","p95","95% rel prob","CSCI","% cover","Cal",8.90890890890891,-Inf,22.7227227227227
"Arid","PCT_MAP","BCG3","BCG3","p95","95% rel prob","CSCI","% cover","Val",8.90890890890891,-Inf,22.7227227227227
"Arid","PCT_MAP","BCG3","BCG3","p90","90% rel prob","CSCI","% cover","Cal",17.8178178178178,-Inf,33.1331331331331
"Arid","PCT_MAP","BCG3","BCG3","p90","90% rel prob","CSCI","% cover","Val",17.8178178178178,-Inf,33.1331331331331
"Arid","PCT_MAP","BCG3","BCG3","p80","80% rel prob","CSCI","% cover","Cal",35.5355355355355,21.7217217217217,64.0640640640641
"Arid","PCT_MAP","BCG3","BCG3","p80","80% rel prob","CSCI","% cover","Val",35.5355355355355,21.7217217217217,64.0640640640641
"Arid","PCT_MAP","BCG3","BCG3","p50","50% rel prob","CSCI","% cover","Cal",92.7927927927928,64.1641641641642,Inf
"Arid","PCT_MAP","BCG3","BCG3","p50","50% rel prob","CSCI","% cover","Val",92.7927927927928,64.1641641641642,Inf
"California","Nitrogen_Total_mgPerL","BCG3","BCG3","p95","95% rel prob","ASCI_D","Total N","Cal",0.033033033033033,-Inf,0.0900900900900901
"California","Nitrogen_Total_mgPerL","BCG3","BCG3","p95","95% rel prob","ASCI_D","Total N","Val",0.033033033033033,-Inf,0.0900900900900901
"California","Nitrogen_Total_mgPerL","BCG3","BCG3","p90","90% rel prob","ASCI_D","Total N","Cal",0.0690690690690691,0,0.123123123123123
"California","Nitrogen_Total_mgPerL","BCG3","BCG3","p90","90% rel prob","ASCI_D","Total N","Val",0.0690690690690691,0,0.123123123123123
"California","Nitrogen_Total_mgPerL","BCG3","BCG3","p80","80% rel prob","ASCI_D","Total N","Cal",0.141141141141141,0.0840840840840841,0.195195195195195
"California","Nitrogen_Total_mgPerL","BCG3","BCG3","p80","80% rel prob","ASCI_D","Total N","Val",0.141141141141141,0.0840840840840841,0.195195195195195
"California","Nitrogen_Total_mgPerL","BCG3","BCG3","p50","50% rel prob","ASCI_D","Total N","Cal",0.378378378378378,0.309309309309309,0.486486486486486
"California","Nitrogen_Total_mgPerL","BCG3","BCG3","p50","50% rel prob","ASCI_D","Total N","Val",0.378378378378378,0.309309309309309,0.486486486486486
"California","Phosphorus_as_P_mgPerL","BCG3","BCG3","p95","95% rel prob","ASCI_D","Total P","Cal",0.0045045045045045,-Inf,0.012012012012012
"California","Phosphorus_as_P_mgPerL","BCG3","BCG3","p95","95% rel prob","ASCI_D","Total P","Val",0.0045045045045045,-Inf,0.012012012012012
"California","Phosphorus_as_P_mgPerL","BCG3","BCG3","p90","90% rel prob","ASCI_D","Total P","Cal",0.00900900900900901,-Inf,0.0165165165165165
"California","Phosphorus_as_P_mgPerL","BCG3","BCG3","p90","90% rel prob","ASCI_D","Total P","Val",0.00900900900900901,-Inf,0.0165165165165165
"California","Phosphorus_as_P_mgPerL","BCG3","BCG3","p80","80% rel prob","ASCI_D","Total P","Cal",0.0195195195195195,0.0105105105105105,0.0255255255255255
"California","Phosphorus_as_P_mgPerL","BCG3","BCG3","p80","80% rel prob","ASCI_D","Total P","Val",0.0195195195195195,0.0105105105105105,0.0255255255255255
"California","Phosphorus_as_P_mgPerL","BCG3","BCG3","p50","50% rel prob","ASCI_D","Total P","Cal",0.051051051051051,0.0435435435435435,0.0630630630630631
"California","Phosphorus_as_P_mgPerL","BCG3","BCG3","p50","50% rel prob","ASCI_D","Total P","Val",0.051051051051051,0.0435435435435435,0.0630630630630631
"California","Chlorophyll_a_mgPerm2","BCG3","BCG3","p95","95% rel prob","ASCI_D","Chl-a","Cal",12.012012012012,-Inf,34.5345345345345
"California","Chlorophyll_a_mgPerm2","BCG3","BCG3","p95","95% rel prob","ASCI_D","Chl-a","Val",12.012012012012,-Inf,34.5345345345345
"California","Chlorophyll_a_mgPerm2","BCG3","BCG3","p90","90% rel prob","ASCI_D","Chl-a","Cal",24.6246246246246,-Inf,49.5495495495496
"California","Chlorophyll_a_mgPerm2","BCG3","BCG3","p90","90% rel prob","ASCI_D","Chl-a","Val",24.6246246246246,-Inf,49.5495495495496
"California","Chlorophyll_a_mgPerm2","BCG3","BCG3","p80","80% rel prob","ASCI_D","Chl-a","Cal",50.7507507507508,28.8288288288288,89.7897897897898
"California","Chlorophyll_a_mgPerm2","BCG3","BCG3","p80","80% rel prob","ASCI_D","Chl-a","Val",50.7507507507508,28.8288288288288,89.7897897897898
"California","Chlorophyll_a_mgPerm2","BCG3","BCG3","p50","50% rel prob","ASCI_D","Chl-a","Cal",143.843843843844,100.3003003003,268.468468468468
"California","Chlorophyll_a_mgPerm2","BCG3","BCG3","p50","50% rel prob","ASCI_D","Chl-a","Val",143.843843843844,100.3003003003,268.468468468468
"California","Ash_Free_Dry_Mass_mgPercm2","BCG3","BCG3","p95","95% rel prob","ASCI_D","AFDM","Cal",0.375375375375375,-Inf,1.12612612612613
"California","Ash_Free_Dry_Mass_mgPercm2","BCG3","BCG3","p95","95% rel prob","ASCI_D","AFDM","Val",0.375375375375375,-Inf,1.12612612612613
"California","Ash_Free_Dry_Mass_mgPercm2","BCG3","BCG3","p90","90% rel prob","ASCI_D","AFDM","Cal",0.825825825825826,-Inf,1.57657657657658
"California","Ash_Free_Dry_Mass_mgPercm2","BCG3","BCG3","p90","90% rel prob","ASCI_D","AFDM","Val",0.825825825825826,-Inf,1.57657657657658
"California","Ash_Free_Dry_Mass_mgPercm2","BCG3","BCG3","p80","80% rel prob","ASCI_D","AFDM","Cal",1.72672672672673,0.975975975975976,2.47747747747748
"California","Ash_Free_Dry_Mass_mgPercm2","BCG3","BCG3","p80","80% rel prob","ASCI_D","AFDM","Val",1.72672672672673,0.975975975975976,2.47747747747748
"California","Ash_Free_Dry_Mass_mgPercm2","BCG3","BCG3","p50","50% rel prob","ASCI_D","AFDM","Cal",4.87987987987988,3.82882882882883,6.68168168168168
"California","Ash_Free_Dry_Mass_mgPercm2","BCG3","BCG3","p50","50% rel prob","ASCI_D","AFDM","Val",4.87987987987988,3.82882882882883,6.68168168168168
"California","PCT_MAP","BCG3","BCG3","p95","95% rel prob","ASCI_D","% cover","Cal",6.10610610610611,-Inf,17.5175175175175
"California","PCT_MAP","BCG3","BCG3","p95","95% rel prob","ASCI_D","% cover","Val",6.10610610610611,-Inf,17.5175175175175
"California","PCT_MAP","BCG3","BCG3","p90","90% rel prob","ASCI_D","% cover","Cal",12.4124124124124,-Inf,24.5245245245245
"California","PCT_MAP","BCG3","BCG3","p90","90% rel prob","ASCI_D","% cover","Val",12.4124124124124,-Inf,24.5245245245245
"California","PCT_MAP","BCG3","BCG3","p80","80% rel prob","ASCI_D","% cover","Cal",25.5255255255255,14.1141141141141,44.8448448448449
"California","PCT_MAP","BCG3","BCG3","p80","80% rel prob","ASCI_D","% cover","Val",25.5255255255255,14.1141141141141,44.8448448448449
"California","PCT_MAP","BCG3","BCG3","p50","50% rel prob","ASCI_D","% cover","Cal",71.8718718718719,50.0500500500501,Inf
"California","PCT_MAP","BCG3","BCG3","p50","50% rel prob","ASCI_D","% cover","Val",71.8718718718719,50.0500500500501,Inf
"California","Nitrogen_Total_mgPerL","BCG3","BCG3","p95","95% rel prob","ASCI_H","Total N","Cal",0.027027027027027,-Inf,0.0720720720720721
